Category,Title,URL
Vorstellung,Vorstellung,https://suche.machs-auf.at/sign/66687
,Ich,https://suche.machs-auf.at/sign/19056
,Du,https://suche.machs-auf.at/sign/20861
,Name,https://suche.machs-auf.at/sign/24712
Studium,Studium,https://suche.machs-auf.at/sign/89694
,Mikrobiologie,https://suche.machs-auf.at/sign/77580
,Informatik,https://suche.machs-auf.at/sign/26872
,Maschinen+(bau),https://suche.machs-auf.at/sign/62009
,(Maschinen)+bau,https://suche.machs-auf.at/sign/36833
,Architektur,https://suche.machs-auf.at/sign/36080
,Medizin,https://suche.machs-auf.at/sign/22805
,Rakete,https://suche.machs-auf.at/sign/27791
,Welt,https://suche.machs-auf.at/sign/26582
,Weltraum,https://suche.machs-auf.at/sign/52768
,Wissenschaft,https://suche.machs-auf.at/sign/62433
,Forschung,https://suche.machs-auf.at/sign/88609
Herkunft,Belarus (Weißrussland),https://suche.machs-auf.at/sign/23434
,Dominikanische Republik,https://suche.machs-auf.at/sign/23775
,Österreich,https://suche.machs-auf.at/sign/41593
,Deutschland,https://suche.machs-auf.at/sign/19017
,Serbien,https://suche.machs-auf.at/sign/41805
,USA,https://suche.machs-auf.at/sign/27832
,Europa,https://suche.machs-auf.at/sign/27800
Sprachen,Sprache,https://suche.machs-auf.at/sign/23210
,Lautsprachlich sprechen,https://suche.machs-auf.at/sign/51548
,Gebärdensprachlich sprechen,https://suche.machs-auf.at/sign/61510
,Gebärdensprache,https://suche.machs-auf.at/sign/59735
,Deutsch,https://suche.machs-auf.at/sign/92927
,Englisch,https://suche.machs-auf.at/sign/61959
,Spanisch,https://suche.machs-auf.at/sign/48332
,Frankreich,https://suche.machs-auf.at/sign/27223
,Chinesisch,https://suche.machs-auf.at/sign/54370
,"Japan, Japanisch",https://suche.machs-auf.at/sign/24659
,Russisch,https://suche.machs-auf.at/sign/28512
Fragewörter,wo,https://suche.machs-auf.at/sign/63265
,woher,https://suche.machs-auf.at/sign/63271
,was,https://suche.machs-auf.at/sign/63085
,wie,https://suche.machs-auf.at/sign/40586
,wer,https://suche.machs-auf.at/sign/63180
,wieviel,https://suche.machs-auf.at/sign/85055
